id	gene	type	rowno	test_code
52442	MUT	genetic	NULL	LPE517
52492	PDE6D	genetic	NULL	LPE517
52495	PDX1	genetic	NULL	LPE517
52529	PLG	genetic	NULL	LPE517
52537	POMT1	genetic	NULL	LPE517
52546	PROKR2	genetic	NULL	LPE517
52557	PYGM	genetic	NULL	LPE517
52563	RAI1	genetic	NULL	LPE517
52569	RBM8A	genetic	NULL	LPE517
52579	ROR2	genetic	NULL	LPE517
52589	RPS28	genetic	NULL	LPE517
52597	SBDS	genetic	NULL	LPE517
52603	SCLT1	genetic	NULL	LPE517
52617	SERPINH1	genetic	NULL	LPE517
52618	SETBP1	genetic	NULL	LPE517
52642	SLC2A2	genetic	NULL	LPE517
52692	SYNPO	genetic	NULL	LPE517
52696	TBCE	genetic	NULL	LPE517
52729	TRPS1	genetic	NULL	LPE517
52738	TXNL4A	genetic	NULL	LPE517
52746	UPK3A	genetic	NULL	LPE517
52757	WAS	genetic	NULL	LPE517
52762	WDR73	genetic	NULL	LPE517
52770	WNT3	genetic	NULL	LPE517
52775	XYLT2	genetic	NULL	LPE517
52789	ACVR1	genetic	NULL	LPE520
52794	AHNAK2	genetic	NULL	LPE520
52804	ANO5	genetic	NULL	LPE520
52816	ATL3	genetic	NULL	LPE520
52818	ATP1A1	genetic	NULL	LPE520
52841	CAVIN1	genetic	NULL	LPE520
52893	DNMT1	genetic	NULL	LPE520
52897	DPAGT1	genetic	NULL	LPE520
52929	FIG4	genetic	NULL	LPE520
52939	GFER	genetic	NULL	LPE520
52946	GNB4	genetic	NULL	LPE520
52957	HNRNPA1	genetic	NULL	LPE520
52963	HSPB3	genetic	NULL	LPE520
52972	ITGA7	genetic	NULL	LPE520
52973	ITPR3	genetic	NULL	LPE520
52990	LAMA5	genetic	NULL	LPE520
52994	LAS1L	genetic	NULL	LPE520
53006	MACF1	genetic	NULL	LPE520
53015	MGME1	genetic	NULL	LPE520
53018	MICU1	genetic	NULL	LPE520
53039	MYPN	genetic	NULL	LPE520
53091	RAPSN	genetic	NULL	LPE520
53096	RRM2B	genetic	NULL	LPE520
53127	SLC52A3	genetic	NULL	LPE520
53138	SPG11	genetic	NULL	LPE520
53145	SPTLC2	genetic	NULL	LPE520
53158	TBK1	genetic	NULL	LPE520
53162	TNNI2	genetic	NULL	LPE520
53170	TRAPPC11	genetic	NULL	LPE520
53172	TRIM2	genetic	NULL	LPE520
53192	WNK1	genetic	NULL	LPE520
53193	ZBTB42	genetic	NULL	LPE520
51244	SLC37A4	genetic	NULL	LPE638
51264	STAT3	genetic	NULL	LPE638
51289	TET2	genetic	NULL	LPE638
51301	TMC6	genetic	NULL	LPE638
51330	UNC13D	genetic	NULL	LPE638
51338	WAS	genetic	NULL	LPE638
51369	FERMT3	genetic	NULL	LPE639
51379	FGFR2	genetic	NULL	LPE639
51393	FMN1	genetic	NULL	LPE639
51396	FREM1	genetic	NULL	LPE639
51399	FOXG1	genetic	NULL	LPE639
51402	FRAS1	genetic	NULL	LPE639
51415	GDF5	genetic	NULL	LPE639
51428	GNAS	genetic	NULL	LPE639
51437	GPC4	genetic	NULL	LPE639
51461	HOXA1	genetic	NULL	LPE639
51490	IFT88	genetic	NULL	LPE639
51501	IQCE	genetic	NULL	LPE639
51530	LEFTY2	genetic	NULL	LPE639
51536	LHX3	genetic	NULL	LPE639
51568	MATN3	genetic	NULL	LPE639
51578	MEPE	genetic	NULL	LPE639
51591	MMP9	genetic	NULL	LPE639
51594	MMP2	genetic	NULL	LPE639
51599	MYCN	genetic	NULL	LPE639
51603	MUSK	genetic	NULL	LPE639
51612	NEK1	genetic	NULL	LPE639
51624	NME8	genetic	NULL	LPE639
51635	NPPC	genetic	NULL	LPE639
51656	ORC6	genetic	NULL	LPE639
51690	PHGDH	genetic	NULL	LPE639
51701	PITX1	genetic	NULL	LPE639
51732	PRLR	genetic	NULL	LPE639
51737	PRRX1	genetic	NULL	LPE639
51768	RIN2	genetic	NULL	LPE639
51777	RRAS2	genetic	NULL	LPE639
51791	SBF1	genetic	NULL	LPE639
51797	SEM1	genetic	NULL	LPE639
51799	SERPINH1	genetic	NULL	LPE639
51806	SHOC2	genetic	NULL	LPE639
51809	SETD2	genetic	NULL	LPE639
51819	SLC2A2	genetic	NULL	LPE639
51833	SMARCA2	genetic	NULL	LPE639
51852	SOST	genetic	NULL	LPE639
51888	T	genetic	NULL	LPE639
51900	TBX4	genetic	NULL	LPE639
51932	TNFSF11	genetic	NULL	LPE639
51939	TRAP1	genetic	NULL	LPE639
51965	WDR19	genetic	NULL	LPE639
51989	ZIC2	genetic	NULL	LPE639
51990	WNT4	genetic	NULL	LPE639
51997	ZNF668	genetic	NULL	LPE639
52001	ABCC6	genetic	NULL	LPE517
52003	ABCG2	genetic	NULL	LPE517
52012	ACTA2	genetic	NULL	LPE517
52017	AGPAT2	genetic	NULL	LPE517
52031	AMER1	genetic	NULL	LPE517
52050	ARL6	genetic	NULL	LPE517
52088	BRAF	genetic	NULL	LPE517
52098	C3	genetic	NULL	LPE517
52129	CEP83	genetic	NULL	LPE517
52136	CFHR5	genetic	NULL	LPE517
52163	COQ8B	genetic	NULL	LPE517
